Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,1,35,0,6298,74,104,32,2,1,1,25,778.33,1
23,0,33,3,15745,233,48,30,3,1,1,30,828.88,0
4,0,35,0,1578,21,4,8,3,1,1,30,80.2,0
2,0,38,0,2323,56,15,32,1,1,1,15,193.205,0
6,0,43,2,7493,130,382,49,3,1,1,30,1910.48,0
9,1,38,0,1663,33,20,16,3,1,2,30,163.0,0
4,0,37,0,2108,50,0,14,2,1,1,25,100.97,0
10,0,42,1,2710,62,10,23,4,1,1,45,82.25,0
1,0,28,1,2045,47,284,9,3,1,1,30,1224.12,0
6,0,38,0,2633,62,45,32,4,1,2,45,190.9,0
16,0,43,3,4150,82,37,41,3,1,1,30,328.44,0
9,0,11,0,6923,142,73,37,4,1,1,45,376.075,0
8,0,23,0,1500,41,15,14,2,1,1,25,133.58,0
14,0,13,0,9143,171,115,42,4,1,1,45,407.35,0
21,0,30,1,15455,226,0,68,2,1,1,25,729.815,0
0,0,30,0,495,9,16,10,2,1,2,25,90.14,0
0,1,35,0,6825,97,14,19,2,1,1,25,336.25,1
5,0,36,1,7965,121,371,41,3,1,1,30,1608.92,0
0,0,31,0,14583,168,0,37,2,1,1,25,687.765,0
0,0,35,0,6985,87,177,22,3,1,1,30,978.88,0
3,0,38,0,3323,78,7,26,2,1,1,25,189.25,0
5,0,39,0,2233,49,374,28,3,1,1,30,1614.8,0
5,0,35,0,12150,153,4,42,3,1,1,30,511.68,0
0,0,37,0,2050,160,0,41,3,1,1,30,837.16,0
0,0,17,0,2880,49,299,23,2,2,1,25,1331.625,0
3,0,34,0,6125,73,98,22,2,1,1,25,736.54,0
4,0,30,0,4605,65,8,9,2,1,1,25,234.07,0
5,0,34,0,14775,168,11,22,2,1,1,25,723.895,0
8,0,39,2,6415,74,99,31,3,1,1,30,685.52,0
6,0,37,0,4335,76,17,17,2,1,1,25,263.985,0
6,0,34,0,7408,125,385,45,2,1,1,25,2087.05,0
14,0,44,2,4113,81,19,34,1,1,1,15,334.83,0
9,0,37,0,2463,56,0,15,1,1,1,15,143.37,0
2,0,38,0,3720,80,16,28,3,1,1,30,202.68,0
0,0,22,0,1380,26,34,10,2,1,1,25,197.84,0
0,0,38,0,84,7,10,8,3,1,2,30,52.8,1
18,0,35,8,10130,96,4,42,5,1,1,55,163.42,0
0,0,35,0,138,4,0,5,2,1,2,25,6.585,1
10,0,29,0,1515,36,27,13,2,1,2,25,189.81,0
8,0,40,0,1398,28,15,6,3,1,2,30,114.6,0
16,0,36,2,9765,127,122,45,3,1,1,30,876.96,0
12,0,45,1,6828,82,108,34,3,1,1,30,748.76,0
6,0,38,1,4250,79,14,26,3,1,1,30,217.04,0
0,0,27,0,330,7,0,2,4,1,2,45,9.575,0
8,0,15,2,3175,39,48,19,3,2,1,30,311.2,0
1,0,24,0,1460,30,40,18,2,1,1,25,238.38,0
5,0,37,2,6895,80,202,25,3,1,1,30,1058.32,0
17,0,37,3,9085,121,169,42,3,1,1,30,1007.92,0
0,0,21,0,0,0,0,0,4,1,2,45,0.0,0
0,0,37,0,335,4,1,4,2,1,2,25,18.5,0
0,0,36,0,333,8,0,8,2,1,2,25,15.14,1
